學校代碼,學校名稱,日間∕進修別,教師學歷,一般教師(含客座及講座)-教授-男,一般教師(含客座及講座)-教授-女,一般教師(含客座及講座)-副教授-男,一般教師(含客座及講座)-副教授-女,一般教師(含客座及講座)-助理教授-男,一般教師(含客座及講座)-助理教授-女,一般教師(含客座及講座)-講師-男,一般教師(含客座及講座)-講師-女,專業技術人員及教師-教授-男,專業技術人員及教師-教授-女,專業技術人員及教師-副教授-男,專業技術人員及教師-副教授-女,專業技術人員及教師-助理教授-男,專業技術人員及教師-助理教授-女,專業技術人員及教師-講師-男,專業技術人員及教師-講師-女,專案教學人員-教授-男,專案教學人員-教授-女,專案教學人員-副教授-男,專案教學人員-副教授-女,專案教學人員-助理教授-男,專案教學人員-助理教授-女,專案教學人員-講師-男,專案教學人員-講師-女,其他教師-教官-男,其他教師-教官-女,其他教師-護理教師-男,其他教師-護理教師-女,其他教師-護理臨床指導教師-男,其他教師-護理臨床指導教師-女,其他教師-運動教練-男,其他教師-運動教練-女,其他教師-助教-男,其他教師-助教-女,縣市名稱,體系別
0049,國立臺灣體育運動大學,日,博士,14,3,20,8,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 臺中市,1 一般
0049,國立臺灣體育運動大學,日,碩士,3,3,5,3,6,1,5,5,1,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,4,1,0,0,19 臺中市,1 一般
0049,國立臺灣體育運動大學,日,學士,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,19 臺中市,1 一般
0049,國立臺灣體育運動大學,進,博士,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 臺中市,1 一般
0050,國立臺中科技大學,日,博士,46,35,58,56,16,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,19 臺中市,2 技職
0050,國立臺中科技大學,日,碩士,7,3,9,14,10,21,6,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,2,5,0,1,0,25,0,0,0,0,19 臺中市,2 技職
0050,國立臺中科技大學,日,學士,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,1,19 臺中市,2 技職
0050,國立臺中科技大學,進,博士,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19 臺中市,2 技職
0051,國立臺北商業大學,日,博士,27,12,40,38,23,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職
0051,國立臺北商業大學,日,碩士,2,1,4,4,2,2,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,2,0,0,0,0,0,0,30 臺北市,2 技職
0051,國立臺北商業大學,日,學士,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,30 臺北市,2 技職
0052,國立屏東大學,日,博士,56,23,76,58,51,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,13 屏東縣,1 一般
