學年度,學期（上學期為1；下學期為2）,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀雙主修人次男,修讀雙主修人次女
106,1,公立,一般大學,3,國立臺灣大學,2222013,人類學系,學士班(日間),11,19
106,1,公立,一般大學,3,國立臺灣大學,2231014,哲學系,學士班(日間),14,9
106,1,公立,一般大學,3,國立臺灣大學,2311007,外國語文學系,學士班(日間),18,38
106,1,公立,一般大學,3,國立臺灣大學,2311009,日本語文學系,學士班(日間),7,23
106,1,公立,一般大學,3,國立臺灣大學,2322006,中國文學系,學士班(日間),11,24
106,1,公立,一般大學,3,國立臺灣大學,3111015,經濟學系,學士班(日間),37,23
106,1,公立,一般大學,3,國立臺灣大學,3121016,政治學系,學士班(日間),47,55
106,1,公立,一般大學,3,國立臺灣大學,3131019,心理學系,學士班(日間),17,14
106,1,公立,一般大學,3,國立臺灣大學,3141018,社會學系,學士班(日間),8,18
106,1,公立,一般大學,3,國立臺灣大學,3142021,地理環境資源學系,學士班(日間),14,8
106,1,公立,一般大學,3,國立臺灣大學,3222025,圖書資訊學系,學士班(日間),2,21
106,1,公立,一般大學,3,國立臺灣大學,4111027,會計學系,學士班(日間),17,21
106,1,公立,一般大學,3,國立臺灣大學,4121032,財務金融學系,學士班(日間),27,33
106,1,公立,一般大學,3,國立臺灣大學,4131029,工商管理學系,學士班(日間),12,17
106,1,公立,一般大學,3,國立臺灣大學,4131031,國際企業學系,學士班(日間),9,14
106,1,公立,一般大學,3,國立臺灣大學,4211035,法律學系,學士班(日間),41,44
106,1,公立,一般大學,3,國立臺灣大學,5111038,生命科學系,學士班(日間),3,2
106,1,公立,一般大學,3,國立臺灣大學,5111041,昆蟲學系,學士班(日間),4,3
106,1,公立,一般大學,3,國立臺灣大學,5121151,生化科技學系,學士班(日間),9,5
106,1,公立,一般大學,3,國立臺灣大學,5311051,化學系,學士班(日間),17,4
106,1,公立,一般大學,3,國立臺灣大學,5321052,地質科學系,學士班(日間),9,6
106,1,公立,一般大學,3,國立臺灣大學,5322056,大氣科學系,學士班(日間),18,8
106,1,公立,一般大學,3,國立臺灣大學,5331054,物理學系,學士班(日間),25,1
106,1,公立,一般大學,3,國立臺灣大學,5411059,數學系,學士班(日間),5,0
106,1,公立,一般大學,3,國立臺灣大學,6131062,資訊管理學系,學士班(日間),7,10
106,1,公立,一般大學,3,國立臺灣大學,6131067,資訊工程學系,學士班(日間),27,5
106,1,公立,一般大學,3,國立臺灣大學,7111076,化學工程學系,學士班(日間),8,3
106,1,公立,一般大學,3,國立臺灣大學,7112078,材料科學與工程學系,學士班(日間),6,0
106,1,公立,一般大學,3,國立臺灣大學,7141064,電機工程學系,學士班(日間),46,13
106,1,公立,一般大學,3,國立臺灣大學,7151069,機械工程學系,學士班(日間),27,10
106,1,公立,一般大學,3,國立臺灣大學,7151072,生物產業機電工程學系,學士班(日間),5,2
106,1,公立,一般大學,3,國立臺灣大學,7151082,工程科學及海洋工程學系,學士班(日間),3,3
106,1,公立,一般大學,3,國立臺灣大學,7321074,土木工程學系,學士班(日間),26,5
106,1,公立,一般大學,3,國立臺灣大學,7321075,生物環境系統工程學系,學士班(日間),19,10
106,1,公立,一般大學,3,國立臺灣大學,8111087,農藝學系,學士班(日間),5,6
106,1,公立,一般大學,3,國立臺灣大學,8112089,動物科學技術學系,學士班(日間),1,2
106,1,公立,一般大學,3,國立臺灣大學,8121091,園藝暨景觀學系,學士班(日間),5,9
106,1,公立,一般大學,3,國立臺灣大學,8191100,農業化學系,學士班(日間),10,3
106,1,公立,一般大學,3,國立臺灣大學,8193096,農業經濟學系,學士班(日間),10,5
106,1,公立,一般大學,3,國立臺灣大學,8193098,生物產業傳播暨發展學系,學士班(日間),13,22
106,1,公立,一般大學,3,國立臺灣大學,8194094,植物病理與微生物學系,學士班(日間),8,4
106,1,公立,一般大學,3,國立臺灣大學,8211102,森林環境暨資源學系,學士班(日間),9,15
106,1,公立,一般大學,3,國立臺灣大學,8411104,獸醫學系,學士班(日間),6,16
106,1,公立,一般大學,3,國立臺灣大學,9111137,牙醫學系,學士班(日間),3,0
106,1,公立,一般大學,3,國立臺灣大學,9121107,醫學系,學士班(日間),18,4
106,1,公立,一般大學,3,國立臺灣大學,9121107,醫學系七年制,學士班(日間),25,4
106,1,公立,一般大學,3,國立臺灣大學,9131134,護理學系,學士班(日間),1,3
106,1,公立,一般大學,3,國立臺灣大學,9141136,醫學檢驗暨生物技術學系,學士班(日間),5,7
106,1,公立,一般大學,3,國立臺灣大學,9151132,物理治療學系,學士班(日間),1,1
106,1,公立,一般大學,3,國立臺灣大學,9152133,職能治療學系,學士班(日間),3,9
106,1,公立,一般大學,3,國立臺灣大學,9161129,藥學系,學士班(日間),7,7
106,1,公立,一般大學,3,國立臺灣大學,9161129,藥學系四年制,學士班(日間),0,2
106,1,公立,一般大學,3,國立臺灣大學,9191122,公共衛生學系,學士班(日間),3,3
106,1,公立,一般大學,3,國立臺灣大學,9231144,社會工作學系,學士班(日間),6,17
106,1,公立,一般大學,4,國立臺灣師範大學,1111001,教育學系,學士班(日間),19,60
106,1,公立,一般大學,4,國立臺灣師範大學,1113018,特殊教育學系,學士班(日間),3,13
106,1,公立,一般大學,4,國立臺灣師範大學,1131004,公民教育與活動領導學系,學士班(日間),3,21
106,1,公立,一般大學,4,國立臺灣師範大學,1131009,社會教育學系,學士班(日間),2,15
106,1,公立,一般大學,4,國立臺灣師範大學,1141007,人類發展與家庭學系,學士班(日間),4,30
106,1,公立,一般大學,4,國立臺灣師範大學,1141010,工業教育學系,學士班(日間),2,1
106,1,公立,一般大學,4,國立臺灣師範大學,1141015,體育學系,學士班(日間),7,3
106,1,公立,一般大學,4,國立臺灣師範大學,1141017,健康促進與衛生教育學系,學士班(日間),10,15
106,1,公立,一般大學,4,國立臺灣師範大學,1199022,科技應用與人力資源發展學系,學士班(日間),8,4
106,1,公立,一般大學,4,國立臺灣師範大學,2131023,美術學系,學士班(日間),0,1
106,1,公立,一般大學,4,國立臺灣師範大學,2151024,音樂學系,學士班(日間),1,21
106,1,公立,一般大學,4,國立臺灣師範大學,2152027,表演藝術學士學位學程,學士班(日間),0,1
106,1,公立,一般大學,4,國立臺灣師範大學,2221035,歷史學系,學士班(日間),2,8
106,1,公立,一般大學,4,國立臺灣師範大學,2311033,英語學系,學士班(日間),6,6
106,1,公立,一般大學,4,國立臺灣師範大學,2313005,華語文教學系,學士班(日間),2,14
106,1,公立,一般大學,4,國立臺灣師範大學,2321028,臺灣語文學系,學士班(日間),1,7
106,1,公立,一般大學,4,國立臺灣師範大學,2322029,國文學系,學士班(日間),6,30
106,1,公立,一般大學,4,國立臺灣師範大學,3131003,教育心理與輔導學系,學士班(日間),2,8
106,1,公立,一般大學,4,國立臺灣師範大學,3142041,地理學系,學士班(日間),5,3
106,1,公立,一般大學,4,國立臺灣師範大學,3143042,東亞學系,學士班(日間),3,11
106,1,公立,一般大學,4,國立臺灣師範大學,3214050,圖文傳播學系,學士班(日間),2,5
106,1,公立,一般大學,4,國立臺灣師範大學,4131051,企業管理學系,學士班(日間),0,4
106,1,公立,一般大學,4,國立臺灣師範大學,5111056,生命科學系,學士班(日間),7,3
106,1,公立,一般大學,4,國立臺灣師範大學,5311059,化學系,學士班(日間),8,3
106,1,公立,一般大學,4,國立臺灣師範大學,5321060,地球科學系,學士班(日間),7,2
106,1,公立,一般大學,4,國立臺灣師範大學,5331061,物理學系,學士班(日間),7,4
106,1,公立,一般大學,4,國立臺灣師範大學,5411062,數學系,學士班(日間),6,3
106,1,公立,一般大學,4,國立臺灣師範大學,7141063,電機工程學系,學士班(日間),1,1
106,1,公立,一般大學,4,國立臺灣師範大學,7141065,資訊工程學系,學士班(日間),2,2
106,1,公立,一般大學,4,國立臺灣師範大學,7151068,機電工程學系,學士班(日間),3,1
106,1,公立,一般大學,4,國立臺灣師範大學,10141074,運動競技學系,學士班(日間),1,0
106,1,公立,一般大學,5,國立成功大學,2123113,工業設計學系,學士班(日間),2,1
106,1,公立,一般大學,5,國立成功大學,2221110,歷史學系,學士班(日間),10,14
106,1,公立,一般大學,5,國立成功大學,2311108,外國語文學系,學士班(日間),3,12
106,1,公立,一般大學,5,國立成功大學,2321106,台灣文學系,學士班(日間),3,7
106,1,公立,一般大學,5,國立成功大學,2322107,中國文學系,學士班(日間),1,16
106,1,公立,一般大學,5,國立成功大學,3111114,經濟學系,學士班(日間),7,7
106,1,公立,一般大學,5,國立成功大學,3121115,政治學系,學士班(日間),5,17
106,1,公立,一般大學,5,國立成功大學,3131117,心理學系,學士班(日間),9,3
